R1
------------------------------------------------------------
Electric field / N (Td)                    10.0 
Gas temperature (K)                        300.0 
------------------------------------------------------------
TRANSPORT PARAMETERS:
Mean energy (eV)                          5.3666e+00  
Mobility *N (1/m/V/s)                     1.0552e+24  
Diffusion coefficient *N (1/m/s)          7.9011e+24  
------------------------------------------------------------
Rate coefficients (m3/s)
{ELASTIC: Ar }                             1.1460e-13
{IONIZATION: Ar -> Ar^+}                   2.5619e-23
{EXCITATION: Ar -> Ar*(11.5eV)}            7.1957e-18
------------------------------------------------------------
Energy (eV) EEDF (eV-3/2)
3.9044e+01    -2.5072e-19
3.9548e+01    2.8206e-21
4.0055e+01    3.1340e-19
4.0565e+01    -3.4569e-20
4.1079e+01    -6.0294e-21
4.1595e+01    -1.1525e-19
4.2115e+01    -2.1684e-19
4.2638e+01    -6.9389e-18
4.3165e+01    -5.7248e-18
4.3694e+01    -4.5982e-18
4.4227e+01    -3.5465e-18
4.4763e+01    -2.5649e-18
4.5303e+01    -1.6490e-18
4.5845e+01    -7.9470e-19
4.6391e+01    -5.7092e-21
4.6940e+01    2.1684e-19
4.7492e+01    7.1490e-19
4.8048e+01    -2.8730e-20
4.8606e+01    -8.1685e-20
4.9168e+01    -5.4889e-20
4.9733e+01    -2.6317e-20
5.0302e+01    5.2844e-22
5.0873e+01    4.1573e-20
5.1448e+01    8.0156e-20
5.2026e+01    1.1638e-19
5.2608e+01    3.4695e-18
5.3192e+01    1.7347e-18
5.3780e+01    3.6363e-20
5.4371e+01    1.1968e-21
5.4965e+01    3.9500e-23
5.5562e+01    1.3680e-24
5.6163e+01    9.0363e-25
5.6767e+01    2.7926e-23
5.7374e+01    9.2935e-22
5.7984e+01    2.6257e-20
5.8598e+01    8.6737e-19
5.9215e+01    -4.3368e-19
5.9835e+01    -1.4031e-20
6.0458e+01    -3.7755e-22
6.1085e+01    -7.5911e-24
6.1714e+01    -1.5429e-25
6.2347e+01    -2.9284e-27
6.2984e+01    -5.2775e-29
6.3623e+01    -9.4734e-31
6.4266e+01    -1.7210e-32



